PacketCounter_femur,SampleTimeFine_femur,Quat_W_femur,Quat_X_femur,Quat_Y_femur,Quat_Z_femur,FreeAcc_X_femur,FreeAcc_Y_femur,FreeAcc_Z_femur
1827,316331879,0.84025514,0.021102147,-0.5049467,0.19637626,0.85039526,0.2694279,0.21281052
1828,316348546,0.84340256,0.017852817,-0.49973026,0.19654976,-0.090524085,-1.4693629,-0.25793743
1829,316365213,0.8458656,0.014501784,-0.4949883,0.19823343,-0.68639755,-1.5631535,-0.32090378
1830,316381880,0.84837717,0.013108437,-0.4893147,0.20165376,-0.9018734,0.22791027,0.047618866
1831,316398547,0.851111,0.012684583,-0.48333004,0.2045726,-0.102319315,0.9764169,0.070560455
1832,316415214,0.85389477,0.012532981,-0.47736117,0.20698285,0.7186002,-0.041063864,-0.38148594
1833,316431881,0.8566251,0.012349201,-0.4717618,0.20854473,0.67576057,-1.7171181,0.30675888
1834,316448548,0.8595575,0.014594618,-0.4651455,0.21117905,0.5280234,-1.0622187,0.7428541
1835,316465215,0.8627954,0.01806135,-0.45737436,0.21465203,0.20850317,-0.100443095,0.22374439
1836,316481882,0.86595577,0.021234209,-0.4491656,0.21892685,0.1327468,0.4716919,-0.44294834
1837,316498549,0.86891276,0.022855885,-0.44140723,0.22279353,-0.085367195,0.6291605,-0.7942877
1838,316515216,0.87175584,0.022438455,-0.43431973,0.22564046,-0.21526779,0.2621011,-0.29304695
1839,316531883,0.8745959,0.021298192,-0.42731652,0.22811869,0.053929653,0.8759648,0.23003674
1840,316548550,0.8774896,0.020661995,-0.41991812,0.23078763,0.25391564,2.3493292,0.3855219
1841,316565217,0.88030124,0.020010617,-0.4128189,0.23293518,-0.098766126,2.844794,0.2432394
1842,316581884,0.8827722,0.017772373,-0.40728775,0.23350172,0.12563686,1.0577909,-0.001924515
1843,316598551,0.8853848,0.015229693,-0.4015449,0.23373601,0.7676512,-0.8210967,0.30924797
1844,316615218,0.88800174,0.014227904,-0.39484155,0.23528574,1.4983801,-1.1784978,0.27097416
1845,316631885,0.89060754,0.015215262,-0.38693693,0.23848602,1.4158609,-0.13040279,0.3113165
1846,316648552,0.892998,0.015997658,-0.3794728,0.2414703,0.27031946,2.004956,-0.013852119
1847,316665219,0.8949252,0.013983353,-0.37459952,0.24206905,0.8942007,1.070745,0.7196331
1848,316681886,0.8969101,0.011575999,-0.36992866,0.24203293,1.7840694,-0.9202236,1.080369
1849,316698553,0.89893174,0.011647496,-0.36385143,0.24373545,1.3833903,-1.5978566,0.3138466
1850,316715220,0.90097874,0.013048871,-0.35633937,0.24718045,0.41149226,-0.26214367,-0.5733919
1851,316731887,0.90325433,0.01351006,-0.34804735,0.2506409,-0.21583596,2.589648,-0.43406868
1852,316748554,0.905541,0.011800927,-0.34086576,0.25234053,0.6286861,2.661049,0.29206657
1853,316765221,0.90778404,0.008725344,-0.3349313,0.25235307,1.3013583,-0.024217196,1.158021
