sep=,
DeviceTag:,tibiaLeft,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.6.0,,,,,,,,,,,,,,,,,
AppVersion:,1.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Euler),,,,,,,,,,,,,,,,,
StartTime:,2021-03-17 16:46:03.544 +0800,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2021,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1803, 221994107, -144.82264709472656, -74.66607666015625, 5.641513347625732, 0.6749903, 1.6683611, 0.03435898
1804, 222010774, -144.50778198242188, -74.78324890136719, 5.438122749328613, 2.1965678, 2.890116, -0.22510147
1805, 222027441, -144.43287658691406, -74.80812072753906, 5.591493129730225, 3.150095, 3.3398473, -0.51250553
1806, 222044108, -144.6270294189453, -74.74859619140625, 6.033998012542725, 3.0878808, 2.392844, -0.46610832
1807, 222060775, -145.0704803466797, -74.63932800292969, 6.637139320373535, 1.5791459, 0.9216189, -0.36244297
1808, 222077442, -145.5666046142578, -74.52825164794922, 7.196074962615967, -0.25276104, -0.5774331, -0.04442787
1809, 222094109, -145.9996337890625, -74.44255828857422, 7.579309940338135, -1.4157734, -1.5961442, 0.015170097
1810, 222110776, -146.33079528808594, -74.38763427734375, 7.798046588897705, -1.9124452, -1.6301531, -0.031321526
1811, 222127443, -146.5061492919922, -74.37075805664062, 7.879918575286865, -1.4110895, -1.2355223, 0.0060014725
1812, 222144110, -146.58131408691406, -74.38560485839844, 7.870620250701904, -0.6016707, -0.60697323, 0.13388634
1813, 222160777, -146.5812225341797, -74.4251708984375, 7.830906867980957, -0.13102391, -0.17063805, 0.19914055
1814, 222177444, -146.54586791992188, -74.47308349609375, 7.8390278816223145, 0.032249175, 0.09635778, -0.0373888
1815, 222194111, -146.4650421142578, -74.51834869384766, 7.895960807800293, 0.13913022, 0.25205243, -0.3059826
1816, 222210778, -146.41561889648438, -74.55229949951172, 8.00712776184082, 0.3907958, 0.37247038, -0.33976364
1817, 222227445, -146.44351196289062, -74.57036590576172, 8.14831829071045, 0.51073474, 0.46884468, -0.095734596
1818, 222244112, -146.5525360107422, -74.56124114990234, 8.310449600219727, 0.5463132, 0.50879204, -0.09680939
1819, 222260779, -146.7130584716797, -74.53246307373047, 8.477843284606934, 0.45062166, 0.23482774, -0.06417656
1820, 222277446, -146.93618774414062, -74.49368286132812, 8.655625343322754, 0.16406153, -0.16929519, -0.027283669
1821, 222294113, -147.13345336914062, -74.46269226074219, 8.838883399963379, -0.20836616, -0.27141657, -0.103549
1822, 222310780, -147.24623107910156, -74.44788360595703, 9.007747650146484, -0.28512117, -0.23863651, -0.120554924
1823, 222327447, -147.35256958007812, -74.43526458740234, 9.183051109313965, -0.07436952, 0.097542174, -0.06632519
1824, 222344114, -147.47525024414062, -74.40860748291016, 9.367132186889648, 0.24161628, 0.31057763, -0.14288521
1825, 222360781, -147.6083526611328, -74.37934112548828, 9.542003631591797, 0.1420355, 0.063605756, 0.051514626
1826, 222377448, -147.71136474609375, -74.36029815673828, 9.714303970336914, -0.14362177, -0.18355599, 0.18077087
1827, 222394115, -147.7714385986328, -74.34991455078125, 9.881136894226074, -0.26829854, -0.323823, 0.08393669
1828, 222410782, -147.83615112304688, -74.33554077148438, 10.025827407836914, -0.04423869, -0.11687448, -0.09231186
1829, 222427449, -147.90383911132812, -74.3139877319336, 10.13673210144043, 0.3109462, 0.025676051, -0.10751152
1830, 222444116, -147.96397399902344, -74.30364990234375, 10.206146240234375, 0.12393626, -0.21891741, -0.010782242
1831, 222460783, -148.00100708007812, -74.313232421875, 10.262813568115234, -0.3412997, -0.37995905, 0.12530231
1832, 222477450, -147.9556121826172, -74.34085083007812, 10.294955253601074, -0.586288, -0.4551249, 0.22914505
1833, 222494117, -147.88442993164062, -74.37458038330078, 10.300131797790527, -0.3064016, -0.2528848, 0.006597519
1834, 222510784, -147.88107299804688, -74.39225769042969, 10.314289093017578, 0.42487797, 0.5468943, -0.22720718
1835, 222527451, -147.99835205078125, -74.37590026855469, 10.374397277832031, 1.1136683, 1.1783546, -0.12565136
1836, 222544118, -148.24853515625, -74.34049987792969, 10.534111976623535, 0.63241076, 0.8336203, 0.027231216
1837, 222560785, -148.5830535888672, -74.30622100830078, 10.854618072509766, -0.4483313, 0.53246206, -0.23081398
1838, 222577452, -148.8483123779297, -74.28240966796875, 11.318273544311523, -0.7428644, 0.6900988, -0.33623028
1839, 222594119, -149.07876586914062, -74.24526977539062, 11.881821632385254, 0.16162747, 0.7246947, -0.29370785
1840, 222610786, -149.44857788085938, -74.16675567626953, 12.509358406066895, 1.0202342, 0.8745615, -0.14680862
1841, 222627453, -149.98231506347656, -74.06265258789062, 13.193815231323242, 0.8200351, 0.52814823, 0.028287888
1842, 222644120, -150.51658630371094, -73.97845458984375, 13.880562782287598, -0.32606807, 0.081725724, 0.18914413
1843, 222660787, -150.93605041503906, -73.92732238769531, 14.533738136291504, -1.111152, -0.44390723, 0.050951004
1844, 222677454, -151.3018798828125, -73.89543151855469, 15.171092987060547, -0.94873893, -0.46887004, 0.04253292
1845, 222694121, -151.69064331054688, -73.85975646972656, 15.753028869628906, -0.103884466, -0.3640104, 0.043319702
1846, 222710788, -151.99871826171875, -73.83855438232422, 16.18646240234375, 0.065517455, -0.72762173, 0.28111744
1847, 222727455, -152.38088989257812, -73.8065185546875, 16.63404083251953, 0.18167228, -0.28833103, -0.14838791
1848, 222744122, -152.68807983398438, -73.8017578125, 17.15146255493164, -0.40121257, -0.106157705, -0.024512291
1849, 222760789, -152.68118286132812, -73.85760498046875, 17.55031394958496, -0.54219294, -1.1989793, -0.26078987
1850, 222777456, -152.55528259277344, -73.93880462646484, 17.770315170288086, -0.09630173, -0.9651438, -0.32691288
1851, 222794123, -152.5324249267578, -74.00535583496094, 17.90239906311035, 0.5407971, 0.3407245, 0.34301472
1852, 222810790, -152.65667724609375, -74.02955627441406, 18.072364807128906, 0.5943238, 0.9941313, 0.67345524
1853, 222827457, -152.85177612304688, -74.01731872558594, 18.32170867919922, 0.073868684, 0.6637881, -0.027220726
1854, 222844124, -152.9915771484375, -74.01011657714844, 18.60508155822754, -0.22448021, 0.15866625, -0.80265427
1855, 222860791, -153.10891723632812, -74.03764343261719, 18.884868621826172, -0.38100746, -0.43959132, -0.5565996
1856, 222877458, -153.4822540283203, -74.09712982177734, 19.357179641723633, -0.6365115, 0.17965949, -0.21061516
