PacketCounter_femur,SampleTimeFine_femur,Euler_X_femur,Euler_Y_femur,Euler_Z_femur,FreeAcc_X_femur,FreeAcc_Y_femur,FreeAcc_Z_femur,PacketCounter_tibia,SampleTimeFine_tibia,Euler_X_tibia,Euler_Y_tibia,Euler_Z_tibia,FreeAcc_X_tibia,FreeAcc_Y_tibia,FreeAcc_Z_tibia
60.0,1209006826.0,-111.9429398,-82.40167999,-75.29923248,0.037379727,0.13542224,-0.001234055,61,1209006826,-163.22666930000003,-79.40008545,-1.712343335,-0.019567393,0.015815776,-0.03623104
61.0,1209023493.0,-112.0833588,-82.3736496,-75.12231445,0.0671201,0.071877226,0.09743023,62,1209023493,-163.06364440000002,-79.42186737,-1.800983429,-0.028861242999999998,-0.055701494000000004,-0.001966476
62.0,1209040160.0,-112.19267269999999,-82.33794403,-74.97647095,0.22750472,-0.05940286400000001,0.19991589,63,1209040160,-162.9595642,-79.44776917,-1.876722574,-0.003249522,-0.060805134000000004,-0.07216835
63.0,1209056827.0,-112.033165,-82.31356812,-75.11276245,0.3277261,-0.21492189,0.22004604,64,1209056827,-162.8506927,-79.47051239,-1.9679480790000001,0.04362628,-0.016091648,-0.11654854
64.0,1209073494.0,-111.64026640000002,-82.30381775,-75.47582245,0.35055378,-0.29759473,0.15781021,65,1209073494,-162.7352905,-79.4886322,-2.06131196,0.099279255,0.04601243,-0.037649155
65.0,1209090161.0,-111.4049149,-82.29393005,-75.67578125,0.29630905,-0.35964325,0.094080925,66,1209090161,-162.6667023,-79.501297,-2.095671654,0.14171493,0.116319045,-0.01510334
66.0,1209106828.0,-111.55506129999999,-82.28693390000001,-75.4909668,0.28494152,-0.41424367,0.12850666,67,1209106828,-162.6594391,-79.50827026,-2.049127579,0.18640418,0.10191319,-0.081088066
67.0,1209123495.0,-111.8858871,-82.29449463,-75.11521149,0.28139770000000003,-0.41861272,0.20831776,68,1209123495,-162.6694489,-79.50643921,-1.984033823,0.15351096,0.051098023,-0.08438969
68.0,1209140162.0,-112.14090729999998,-82.30262756,-74.80049133,0.24283364,-0.24196708,0.21849251,69,1209140162,-162.7103119,-79.49517059,-1.9032300709999999,0.1123781,0.007833403000000001,-0.034939766000000004
69.0,1209156829.0,-112.16904450000001,-82.30915833,-74.72950745,0.21734014,-0.011896098,0.21222399999999997,70,1209156829,-162.7697449,-79.47783661,-1.827664495,0.11268021,-0.011147932,0.005108833
70.0,1209173496.0,-112.13497920000002,-82.31497192,-74.7419281,0.17448826,0.13408822,0.18251419,71,1209173496,-162.8510284,-79.45600128,-1.756490469,0.11053855,-0.009878267,0.01011467
71.0,1209190163.0,-112.23867800000001,-82.31584167,-74.60974884,0.03203021,0.17058945,0.1656332,72,1209190163,-162.9392395,-79.43398285,-1.696080565,0.07303414,0.013050195,-0.024188995
72.0,1209206830.0,-112.3314896,-82.31034851,-74.4712677,-0.06877349,0.18071786,0.22708797,73,1209206830,-163.00479130000002,-79.4108963,-1.656447411,0.032759693,-0.004073132,-0.001631737
73.0,1209223497.0,-112.29194640000001,-82.30274963,-74.44885254,-0.11614273,0.17414005,0.24403381,74,1209223497,-163.0615997,-79.38763428,-1.605676055,-0.005602709,0.033412896,0.029442787
74.0,1209240164.0,-112.18443300000001,-82.29943848,-74.46679688,-0.11840473,0.16212031,0.18696499,75,1209240164,-163.1221771,-79.36614227,-1.5197877880000001,-0.022373982,0.035993855,0.003186226
75.0,1209256831.0,-112.1084747,-82.29261017,-74.41680908,-0.08093281,0.16090734,0.11284351,76,1209256831,-163.12747190000002,-79.34885406,-1.45610249,-0.09371408,-0.04500372,-0.030873299
76.0,1209273498.0,-112.13237,-82.27890015,-74.23192596,-0.06279999,0.18877335,0.11030388,77,1209273498,-163.1228485,-79.33325958,-1.379506946,-0.07953207,0.02985971,-0.024409293999999998
77.0,1209290165.0,-112.2171783,-82.26020813,-73.96739197,-0.06867744,0.19040532,0.1441164,78,1209290165,-163.1133881,-79.32161713,-1.293698907,-0.06780266,-0.085992865,-0.033857346
78.0,1209306832.0,-112.34239199999999,-82.23919678,-73.66201019,-0.07546367,0.12859500000000001,0.14290524,79,1209306832,-163.0836945,-79.31655121,-1.252024889,-0.09963208,-0.15161331,-0.015024185
79.0,1209323499.0,-112.4749374,-82.21177673,-73.36923981,-0.09001616400000001,0.035901323,0.15687752,80,1209323499,-163.0460358,-79.31472778,-1.245906591,-0.10627255,-0.064042605,0.008419036999999999
80.0,1209340166.0,-112.5941772,-82.18121338,-73.11930847,-0.11791846,-0.008527060999999999,0.17456245,81,1209340166,-163.0214539,-79.31784058,-1.241360784,-0.082715064,-0.031542483999999996,-0.01252842
81.0,1209356833.0,-112.68454740000001,-82.15386963,-72.92813873,-0.12427168,-0.06759846,0.1639328,82,1209356833,-163.0251312,-79.32341766,-1.219239473,-0.0441685,0.008362235,-0.08620262
82.0,1209373500.0,-112.75837709999999,-82.132164,-72.77024841,-0.09497692,-0.100923285,0.20639896,83,1209373500,-163.05316159999998,-79.33162689,-1.177963138,-0.01172528,0.034646966,-0.06064415
83.0,1209390167.0,-112.78919979999999,-82.12396240000001,-72.66252136,-0.062681094,-0.07213022,0.25341034,84,1209390167,-163.0990448,-79.34037781,-1.115377426,-0.028619004,0.024793397999999998,-0.013776779
84.0,1209406834.0,-112.74838259999999,-82.12937164,-72.62652588,-0.028487775,-0.050295673,0.2760725,85,1209406834,-163.1615753,-79.35164642,-1.044789076,-0.013210195,-0.019128574,0.01864338
85.0,1209423501.0,-112.6541824,-82.14992523,-72.64516449,-0.05355451,0.008987637,0.2673788,86,1209423501,-163.2233429,-79.36546326,-0.9890952709999999,0.00532762,-0.05180086,0.010955811000000001
86.0,1209440168.0,-112.53458400000001,-82.18212128,-72.69216156,-0.04143669,0.06693003,0.24941729999999998,87,1209440168,-163.302475,-79.37979126,-0.922326863,0.00836623,-0.019833253999999998,-0.043621063
