PacketCounter_femur,SampleTimeFine_femur,Euler_X_femur,Euler_Y_femur,Euler_Z_femur,FreeAcc_X_femur,FreeAcc_Y_femur,FreeAcc_Z_femur
385,2349992663,-163.3612213,-74.45159149,-35.64241791,1.4615606,-0.16916686,-1.1907797
386,2350009330,-161.0774078,-75.4576416,-38.10007477,1.9184922,-0.15945224,-1.2247267
387,2350025997,-158.7770996,-76.33322144,-40.58066177,2.3225834,-0.091367625,-1.0312643
388,2350042664,-156.6468658,-77.04351044,-42.87104797,2.4479952,-0.13059622,-0.8262558
389,2350059331,-154.7937317,-77.63467407,-44.88726044,2.2307308,0.009281292,-0.7111721
390,2350075998,-153.1556702,-78.12203979,-46.58369064,2.1391082,0.48076135,-0.584754
391,2350092665,-151.8334045,-78.51425171,-47.69544983,1.88813,0.4961581,-0.21553612
392,2350109332,-150.4878845,-78.85269165,-48.60132599,1.5102149,0.14076091,0.25108337
393,2350125999,-149.1051636,-79.13420105,-49.4145813,0.6996894,-0.28993213,0.3267212
394,2350142666,-147.9570007,-79.36643982,-49.99047089,0.41602275,-0.5831552,0.13602448
395,2350159333,-147.0657806,-79.56417847,-50.42200089,0.33200815,-0.52235144,0.16875362
396,2350176000,-146.2133026,-79.74671173,-50.93450928,0.19858706,-0.65708673,0.19053555
397,2350192667,-145.2182922,-79.89137268,-51.66536331,0.16478077,-0.6214123,0.073005676
398,2350209334,-144.1731873,-80.00559998,-52.50846481,0.18016547,-0.36643612,0.009730339
399,2350226001,-143.3118439,-80.10995483,-53.27812576,-0.07041714,-0.30885512,0.0365963
400,2350242668,-142.5328522,-80.22416687,-54.06490326,-0.29437566,-0.4168636,-0.02036953
401,2350259335,-141.6872406,-80.34584045,-55.00352097,0.003018682,-0.39623353,-0.025709152
402,2350276002,-140.8895111,-80.44208527,-55.98654175,0.62689483,-0.33091354,-0.004149437
403,2350292669,-140.3460236,-80.50019836,-56.77544785,0.9289152,-0.19460595,0.019572258
404,2350309336,-140.0778198,-80.53523254,-57.30109406,0.81574166,0.067741215,-0.009140015
405,2350326003,-139.9746399,-80.55672455,-57.59716797,0.44763896,0.18270814,-0.09730625
406,2350342670,-139.9242249,-80.57022095,-57.78447342,-0.02892553,0.017852176,0.02747345
407,2350359337,-139.8554382,-80.57978058,-58.02339935,-0.19325277,-0.1841322,0.23202324
408,2350376004,-139.7513428,-80.59299469,-58.34953308,0.19953233,0.033920802,0.41985703
409,2350392671,-139.6580811,-80.61977386,-58.63606644,0.45675197,0.33220977,0.36084366
410,2350409338,-139.6623993,-80.6491394,-58.73152542,0.1682739,0.4336286,0.20393753
411,2350426005,-139.7272186,-80.68229675,-58.71618652,-0.19411586,0.6543389,0.11406803
412,2350442672,-139.7212219,-80.72807312,-58.68958282,-0.3315244,0.5926425,0.13284874
413,2350459339,-139.6958618,-80.78527069,-58.62532425,-0.34975517,0.2271822,0.05196953
414,2350476006,-139.6023407,-80.85873413,-58.59907532,-0.22056144,0.00529424,0.082826614
415,2350492673,-139.402832,-80.9569931,-58.69133759,-0.09203284,-0.140843,0.08136749
416,2350509340,-139.1704865,-81.06458282,-58.82249832,-0.110082366,-0.227415,0.124783516
417,2350526007,-139.0818329,-81.18650818,-58.89212418,0.24734236,-0.027133858,0.18670464
418,2350542674,-139.1875153,-81.33748627,-58.92865372,0.8692353,0.16108489,0.039149284
419,2350559341,-139.49086,-81.52069092,-58.90898895,1.0350715,-0.024120847,-0.020783424
420,2350576008,-140.328537,-81.66887665,-58.528965,0.23595017,-0.23457456,0.15043736
421,2350592675,-141.7535248,-81.69993591,-57.61473465,-0.072816625,-0.65144753,0.42377663
422,2350609342,-143.3872528,-81.67900085,-56.58517075,0.36870167,-0.39506277,0.24111366
423,2350626009,-145.307251,-81.68837738,-55.34122086,0.90957516,0.115668096,-0.5582628
424,2350642676,-147.6004333,-81.65651703,-53.54481888,1.0189313,0.32568273,-0.78693295
425,2350659343,-149.8759918,-81.53034973,-51.46378708,1.2361405,0.28619945,-0.17044258
426,2350676010,-152.1242981,-81.31653595,-49.26211166,1.2297893,0.03181651,0.2802906
427,2350692677,-154.746933,-81.00988007,-46.73331451,0.9784065,-0.37651086,0.11627197
428,2350709344,-157.959137,-80.57537079,-43.79421234,1.2634565,-1.0431521,-0.15455818
429,2350726011,-161.3126373,-80.03242493,-40.93469238,0.97241646,-1.1446474,-0.28529835
430,2350742678,-164.408432,-79.39796448,-38.48630142,0.6327843,-1.0190874,-0.36843395
431,2350759345,-167.1567078,-78.76580048,-36.48792648,0.22801094,-0.9515875,-0.15169525
432,2350776012,-169.815979,-78.10266113,-34.64392853,-0.4245571,-0.7227885,-0.18716526
433,2350792679,-172.4700623,-77.40570068,-32.84120941,0.04676986,-0.42615712,-0.40032673
434,2350809346,-174.9289551,-76.58587646,-31.1531105,1.0005004,-0.20247558,-0.43940067
435,2350826013,-177.0815582,-75.74588013,-29.60691261,1.5491201,0.70132196,-0.18227386
436,2350842680,-178.7102814,-74.86969757,-28.18702316,1.7197453,0.9587804,-0.6133585
437,2350859347,-179.8424072,-73.95464325,-26.84577179,0.73589563,0.48950857,-0.46744156
438,2350876014,179.0338745,-72.95729828,-25.5239048,-0.066718474,0.27196375,-0.14101982
439,2350892681,177.8681335,-71.89063263,-24.25395966,-0.07134933,-0.43159547,-0.15742493
440,2350909348,176.776001,-70.85570526,-23.22853088,-0.08426469,-0.44821706,-0.37722397
441,2350926015,175.8806,-69.83879852,-22.48011017,-0.12476085,-0.5118228,-0.12543678
442,2350942682,175.1573029,-68.8401413,-21.85359955,-0.3995569,-0.14071324,-0.027445793
443,2350959349,174.545517,-67.81575012,-21.28490257,0.7974663,-0.05766612,-0.6662388
444,2350976016,174.3388519,-66.8494339,-20.87322998,0.85292745,-0.09294507,-0.64403534
445,2350992683,174.5670471,-65.85543823,-20.66971016,-1.0707843,0.15365621,0.50643826
