PacketCounter_tibia,SampleTimeFine_tibia,Euler_X_tibia,Euler_Y_tibia,Euler_Z_tibia,FreeAcc_X_tibia,FreeAcc_Y_tibia,FreeAcc_Z_tibia
124,2345642576,-128.4239502,-73.40908813,-23.94039154,-0.022090986,0.16925317,0.001227379
126,2345675910,-128.4063263,-73.38677979,-23.91909599,0.101641834,-0.037308224,-0.012440681
127,2345692577,-128.392334,-73.38118744,-23.90838814,0.10521259,-0.09203336,-0.01878357
129,2345725911,-128.3857422,-73.38362122,-23.90527725,0.034032196,-0.14984499,-0.0239954
131,2345759245,-128.4106445,-73.38430786,-23.9276371,-0.030593155,-0.052629925,-2.87E-04
133,2345792579,-128.4569702,-73.38931274,-23.94469261,-0.06401757,0.10091286,-0.014144897
135,2345825913,-128.5358429,-73.38061523,-23.89281464,-0.11062195,0.19172439,0.033150673
138,2345875914,-128.536499,-73.36362457,-23.83904266,-0.13679169,0.11873746,0.004098892
140,2345909248,-128.5506744,-73.34494781,-23.73139954,-0.08233904,-0.04019959,-0.040906906
142,2345942582,-128.6095123,-73.31123352,-23.55439377,-0.004279365,-0.088397585,-0.058563232
144,2345975916,-128.6756439,-73.26633453,-23.39655685,0.022543838,-0.08356032,0.019201279
145,2345992583,-128.6955261,-73.2534256,-23.35439873,0.031767562,-0.06688782,0.030243874
147,2346025917,-128.7458496,-73.25944519,-23.30286598,0.05951907,-0.022388957,0.021785736
149,2346059251,-128.7742157,-73.27313995,-23.29518127,-0.003700425,0.06706394,-0.03285408
151,2346092585,-128.7766266,-73.2664032,-23.32035255,-0.086767256,0.07611186,-0.010263443
153,2346125919,-128.7796631,-73.24382019,-23.3289547,-0.08476388,0.025408283,0.029088974
154,2346142586,-128.7924805,-73.24030304,-23.31444359,-0.0720974,-0.007248972,0.006933212
158,2346209254,-128.8628235,-73.21599579,-23.21845055,-0.005850535,-0.025952872,0.020533562
160,2346242588,-128.8825531,-73.20751953,-23.21977425,-0.013508368,-0.03231327,-0.019990921
162,2346275922,-128.9139557,-73.20788574,-23.22592545,-0.011449535,0.02409872,0.023679733
163,2346292589,-128.9143066,-73.21138,-23.24213791,-0.02154866,0.049175642,0.024962425
165,2346325923,-128.8949432,-73.22572327,-23.28427315,-0.05291915,0.13325708,0.036263466
167,2346359257,-128.8527527,-73.24591064,-23.33475494,-0.11133102,0.12200946,-0.020244598
169,2346392591,-128.8733521,-73.23292542,-23.31159592,-0.075896844,0.06979706,-0.018704414
171,2346425925,-128.8596649,-73.21244812,-23.29679489,-0.012640831,-0.0559292,0.004393578
172,2346442592,-128.84021,-73.20898438,-23.30056763,1.20E-04,-0.06665536,0.006835938
174,2346475926,-128.851532,-73.22031403,-23.26329041,-0.004721767,-0.03743797,0.00226593
178,2346542594,-128.9074249,-73.24851227,-23.24106598,-0.025551302,0.08621107,-0.015400887
180,2346575928,-128.9276123,-73.2407608,-23.24520683,-0.03993802,0.06545633,0.021455765
181,2346592595,-128.935318,-73.24015045,-23.24398422,-0.04505932,0.036016542,0.036930084
183,2346625929,-128.9426117,-73.25402832,-23.24411201,-0.052808147,0.016590025,0.011648178
185,2346659263,-128.9209595,-73.27069855,-23.26215363,-0.027006233,-0.007416942,-0.016330719
187,2346692597,-128.9068451,-73.28567505,-23.24769592,-0.067285866,-0.030384462,0.013547897
189,2346725931,-128.8765106,-73.30294037,-23.22690582,-0.12945127,0.01697715,0.056991577
190,2346742598,-128.8487091,-73.3199234,-23.22391701,-0.13494885,0.05412679,0.035990715
194,2346809266,-128.6884766,-73.34306335,-23.19244576,-0.055026766,-6.80E-04,-0.027744293
196,2346842600,-128.6146698,-73.34093475,-23.11970139,-0.05138817,-0.13623953,0.004227638
198,2346875934,-128.5455017,-73.35502625,-23.09565544,-0.03702316,-0.119681574,-0.06335831
199,2346892601,-128.5469818,-73.3500824,-23.05932045,0.008094298,-0.0937296,-0.07677555
201,2346925935,-128.5759277,-73.31745911,-22.97159004,0.004804104,-0.061982937,0.06508255
203,2346959269,-128.6273804,-73.31739807,-22.92028046,0.037350077,0.06578378,0.008206368
205,2346992603,-128.6355743,-73.30915833,-22.92923355,0.08235432,0.09400826,0.026435852
207,2347025937,-128.5737305,-73.32003784,-23.00997543,0.017962785,0.06880344,0.05930996
208,2347042604,-128.5334473,-73.34182739,-23.06997299,-1.70E-04,0.07238892,0.014314652
210,2347075938,-128.4918213,-73.38109589,-23.17198372,-0.013402256,-0.007349218,-0.11850071
212,2347109272,-128.5453033,-73.35224152,-23.16111374,0.013351044,-0.11621132,-0.07980251
216,2347175940,-128.627182,-73.34749603,-23.32406425,0.08740184,-0.07300011,-0.022299767
217,2347192607,-128.6452789,-73.35906219,-23.38941002,0.053273477,0.004751215,-0.056598663
219,2347225941,-128.7663727,-73.3620224,-23.42414093,-0.060652588,0.09752105,0.030481339
221,2347259275,-128.8102112,-73.38217163,-23.50889015,-0.2091838,0.11607553,0.02924633
223,2347292609,-128.7332458,-73.40300751,-23.64644432,-0.24952435,0.16372469,0.015583992
225,2347325943,-128.7971191,-73.42436218,-23.57934952,-0.116775796,0.098138615,-0.072442055
226,2347342610,-128.7852631,-73.40454865,-23.563097,-0.12342754,0.048515946,-0.027107239
228,2347375944,-128.6857605,-73.34994507,-23.57839775,0.009737062,-0.00483995,0.017245293
230,2347409278,-128.7144012,-73.31903839,-23.4822216,0.19267249,-0.16147883,0.03299141
232,2347442612,-128.6904297,-73.33423615,-23.48720932,0.16573086,-0.23128495,-0.076797485
235,2347492613,-128.7160492,-73.36070251,-23.62309837,-0.044262145,-0.061934657,-0.020730972
237,2347525947,-128.7269287,-73.3371582,-23.77598,-0.093371026,0.01196342,0.055099487
239,2347559281,-128.7326813,-73.36820984,-23.87561989,-0.15269478,0.18434489,0.08179474
241,2347592615,-128.6492004,-73.40955353,-23.9642601,-0.23260286,0.2774938,0.08562946
243,2347625949,-128.4107666,-73.4777832,-24.12249184,-0.26118,0.25222665,-0.011257172
244,2347642616,-128.3096466,-73.50284576,-24.1553936,-0.2822435,0.16984604,-0.04269123
246,2347675950,-128.1096191,-73.52519226,-24.18345642,-0.26060197,-0.018969657,-0.05322838
248,2347709284,-127.9191208,-73.55043793,-24.20154381,-0.12804103,-0.13872533,-0.07304859
250,2347742618,-127.6874542,-73.53377533,-24.3483429,-0.116289236,-0.1859335,0.013090134
252,2347775952,-127.6059265,-73.54684448,-24.42803001,0.12005655,-0.21945608,0.06477356
255,2347825953,-127.3354645,-73.67005157,-24.77184296,0.078077435,-0.06623639,0.07410145
257,2347859287,-126.988121,-73.77226257,-25.27826118,-0.18087867,-0.06173305,0.060962677
259,2347892621,-126.6445236,-73.92327118,-25.77908134,-0.22562131,-0.07084198,0.050533295
261,2347925955,-126.0899124,-74.08053589,-26.48522758,-0.33959863,-0.016563874,0.04725361
262,2347942622,-125.6870804,-74.16293335,-26.9503212,-0.4644705,0.002568164,0.15801811
264,2347975956,-124.6385193,-74.40885925,-28.11224747,-0.7293786,-0.032527395,0.038279533
266,2348009290,-123.4127197,-74.63890076,-29.51247978,-0.68261224,-0.2381127,0.1687603
268,2348042624,-122.0195847,-74.89672852,-31.16295624,-0.40046754,-0.33297396,0.25343037
270,2348075958,-120.386795,-75.34494781,-33.13325119,-0.24610643,-0.08869877,-0.047493935
271,2348092625,-119.6258774,-75.61267853,-34.12865067,-0.16202536,0.11219445,-0.22812843
275,2348159293,-116.3289948,-76.48016357,-38.07978058,-0.52638936,-0.24117036,0.16729546
277,2348192627,-113.1534653,-77.14738464,-41.95211029,-0.54850185,-0.61807656,0.41519737
279,2348225961,-107.5277939,-77.90827179,-48.94264984,0.18081279,-0.6145132,-0.12037563
280,2348242628,-104.2557449,-78.21785736,-52.94449997,0.5353239,-0.6063827,-0.4330988
282,2348275962,-98.12501526,-78.59938049,-60.38629913,0.49767563,-0.88274616,-0.42076683
284,2348309296,-93.31882477,-78.70167542,-66.5109787,-0.39303106,-0.24032336,-0.20270538
286,2348342630,-89.31349945,-78.68441772,-71.55625916,-0.52112067,0.6490592,-0.40304756
288,2348375964,-85.89508057,-78.70346832,-75.78936768,-0.17815408,0.18685058,0.40490818
289,2348392631,-83.82994843,-78.75492859,-78.31197357,-0.20411964,-0.13440046,0.84130764
