PacketCounter_femur,SampleTimeFine_femur,Euler_X_femur,Euler_Y_femur,Euler_Z_femur,FreeAcc_X_femur,FreeAcc_Y_femur,FreeAcc_Z_femur
1198,1227973872,16.64329529,-49.65197372,158.4510956,-0.41876227,0.9878441,-0.24393654
1199,1227990539,16.11722183,-51.78855896,158.3760529,-0.7437544,0.8725733,-0.767272
1200,1228007206,15.50557995,-53.93522644,158.3652802,-0.9473478,0.5164686,-0.95282364
1201,1228023873,14.77001476,-56.13897705,158.4364777,-1.0591711,0.14693086,-1.0321817
1202,1228040540,13.87619591,-58.39225006,158.5939941,-0.8239698,-0.08551866,-1.0576382
1203,1228057207,12.92977142,-60.62417984,158.8196869,-1.0584306,-0.042498138,-1.0918093
1204,1228073874,11.95913506,-62.80025101,158.9956207,-1.2375238,0.11851855,-1.0287476
1205,1228090541,11.1082449,-64.91153717,159.0058594,-1.0591267,0.3808607,-0.7769661
1206,1228107208,10.36038589,-67.02713776,158.890213,-1.1286906,0.35317394,-0.6151352
1207,1228123875,9.59160614,-69.10311127,158.7802277,-0.99201196,-0.005303739,-0.7021799
1208,1228140542,8.734560966,-71.15955353,158.7209167,-0.84651285,-0.1183728,-1.2899427
1209,1228157209,7.81107378,-73.23124695,158.7283173,-0.1626858,0.18069315,-1.8393264
1210,1228173876,6.753294468,-75.22029877,158.9470367,0.19542225,0.62056106,-1.8575311
1211,1228190543,5.316483974,-77.07058716,159.6526489,0.74479073,0.873423,-1.646903
1212,1228207210,3.167378426,-78.77578735,161.2257233,1.048527,0.84680223,-1.0702257
1213,1228223877,0.181011125,-80.33167267,163.8398743,0.9873926,0.90049803,-0.61207485
1214,1228240544,-3.844595194,-81.81467438,167.7245636,0.9552255,0.79952526,-0.034811974
1215,1228257211,-8.762119293,-83.20941925,172.8724823,0.87764406,0.7544751,0.4219904
1216,1228273878,-14.35053539,-84.50802612,179.0917206,0.96730137,0.96167475,0.55619335
1217,1228290545,-21.46084404,-85.71266937,-172.8841858,0.9434635,1.448632,0.77447605
1218,1228307212,-31.50728416,-86.75526428,-161.736496,0.80300176,1.6626015,0.8461094
1219,1228323879,-47.56792068,-87.5495224,-144.4275513,0.33066878,1.6465858,0.6987524
1220,1228340546,-71.38261414,-87.89782715,-119.2667313,-0.14814758,1.2711906,0.3790655
1221,1228357213,-94.08059692,-87.68751526,-95.18692017,-0.5682371,0.55595315,0.08368969
1222,1228373880,-108.4225845,-87.11798859,-79.48279572,-0.7822559,-0.13895044,-0.01746273
1223,1228390547,-116.7504578,-86.3881073,-69.85095978,-0.7315382,-0.76413286,-0.14155102
1224,1228407214,-122.6076202,-85.5914917,-62.84156418,-0.71649176,-1.2139704,-0.10406399
1225,1228423881,-127.4351883,-84.80163574,-57.09996033,-0.8693023,-1.4647222,0.3088236
1226,1228440548,-131.4567413,-84.09004211,-52.50422668,-0.8926372,-1.6845349,0.73566914
