PacketCounter_tibia,SampleTimeFine_tibia,Euler_X_tibia,Euler_Y_tibia,Euler_Z_tibia,FreeAcc_X_tibia,FreeAcc_Y_tibia,FreeAcc_Z_tibia,PacketCounter_femur,SampleTimeFine_femur,Euler_X_femur,Euler_Y_femur,Euler_Z_femur,FreeAcc_X_femur,FreeAcc_Y_femur,FreeAcc_Z_femur
,,,,,,,,628,2354042744,175.9124603,-52.99688339,-16.12570381,-0.5569802,-0.46149257,1.1503048
,,,,,,,,629,2354059411,175.8864594,-53.48540878,-16.02194405,-0.74178296,-1.1227431,0.91499615
,,,,,,,,630,2354076078,175.7843628,-54.10914993,-16.11029625,-1.5884036,-0.53324926,0.41116238
,,,,,,,,631,2354092745,175.6522369,-54.70703125,-16.30434608,-1.5779521,0.052422058,-0.91696167
,,,,,,,,632,2354109412,175.6105347,-55.29243088,-16.62699699,-0.9162234,0.5255348,-0.09811783
,,,,,,,,633,2354126079,175.7642975,-55.97584152,-16.97544098,-0.4180291,0.57816005,1.149415
,,,,,,,,634,2354142746,176.1186218,-56.80805588,-17.34216881,-0.24818791,0.58219004,1.5791931
,,,,,,,,635,2354159413,176.6579437,-57.77068329,-17.72840691,-0.116244845,0.22255766,1.124135
,,,,,,,,636,2354176080,177.2045135,-58.76024246,-18.02428246,-1.1475438,0.29886225,0.28108692
,,,,,,,,637,2354192747,177.7126465,-59.68606567,-18.28851128,-1.565062,0.15894783,-0.32761765
,,,,,,,,638,2354209414,178.1966858,-60.60241318,-18.69087791,-1.6499923,-0.02385889,0.402915
,,,,,,,,639,2354226081,178.598114,-61.64848328,-19.25774765,-1.5482417,0.051012587,1.0877514
,,,,,,,,640,2354242748,178.9784851,-62.8668251,-19.95228386,-1.0010608,0.23553236,1.0162687
,,,,,,,,641,2354259415,179.4642487,-64.19689178,-20.75669289,-0.31473872,0.07740237,0.66613674
,,,,,,,,642,2354276082,-179.8481445,-65.61808777,-21.68933296,-0.9901321,0.1924108,0.30705357
,,,,,,,,643,2354292749,-178.9641724,-67.01230621,-22.77895355,-1.074132,0.29110613,-0.70996284
,,,,,,,,644,2354309416,-177.8688049,-68.33098602,-24.06819916,-0.94408375,0.67203414,-0.57437897
,,,,,,,,645,2354326083,-176.6321259,-69.64041901,-25.50429344,-0.5628379,0.6302504,0.044260025
,,,,,,,,646,2354342750,-175.2232056,-71.02518463,-27.02066612,-0.3310016,0.6132467,-0.2653122
,,,,,,,,647,2354359417,-173.6181335,-72.43617249,-28.64580536,-0.012405444,0.07971282,-0.98801136
,,,,,,,,648,2354376084,-171.8330536,-73.77793884,-30.48972893,0.37490186,-0.5336333,-1.245883
,,,,,,,,649,2354392751,-169.8527985,-75.06240845,-32.66639709,0.12913996,-0.48879528,-1.1329136
,,,,,,,,650,2354409418,-167.6941681,-76.22894287,-35.15106201,0.2710731,-0.52561,-0.99947834
,,,,,,,,651,2354426085,-165.3039703,-77.29179382,-37.98245239,0.8825148,-0.56141824,-0.59068584
,,,,,,,,652,2354442752,-162.5991058,-78.3113327,-41.21342087,0.8377573,-0.49257594,-0.29074
,,,,,,,,653,2354459419,-159.4516144,-79.33256531,-44.93045425,0.29287365,-0.069526054,-0.20697498
,,,,,,,,654,2354476086,-155.9377899,-80.29672241,-49.13247299,0.58486515,0.03549151,-0.41626072
,,,,,,,,655,2354492753,-152.1426086,-81.11660004,-53.6330452,1.653448,0.24698734,-0.5314598
,,,,,,,,656,2354509420,-148.3130188,-81.76932526,-58.06896973,2.3734775,0.31007454,-0.4816103
,,,,,,,,657,2354526087,-144.5092468,-82.28375244,-62.26312256,2.4861863,-0.004378004,-0.34067917
,,,,,,,,658,2354542754,-140.6587067,-82.69019318,-66.23361206,1.3415723,-0.08219041,-0.21158314
,,,,,,,,659,2354559421,-136.8881989,-83.04703522,-70.00328827,1.3059958,0.24842168,-0.033857346
,,,,,,,,660,2354576088,-133.5074158,-83.37812805,-73.32806396,1.8526907,-0.057028938,-0.12900734
,,,,,,,,661,2354592755,-130.7364197,-83.61702728,-75.98828888,1.3601134,-0.5789867,-0.49183273
,,,,,,,,662,2354609422,-128.4764862,-83.74088287,-78.1626358,0.6742415,-0.37990308,-0.2464714
,,,,,,,,663,2354626089,-126.5242004,-83.82174683,-80.09190369,0.8320487,-2.71E-04,0.335474
,,,,,,,,664,2354642756,-124.9681473,-83.91201782,-81.60482025,1.0102206,-0.2202195,0.3297472
,,,,,,,,665,2354659423,-123.8694687,-83.97995758,-82.70946503,0.5888049,-0.64418375,0.039105415
,,,,,,,,666,2354676090,-123.1311951,-84.00498199,-83.6259613,0.25271502,-0.7688623,-0.02990532
,,,,,,,,667,2354692757,-122.7040253,-84.03186035,-84.39645386,0.14344724,-0.39010665,-0.014422417
,,,,,,,,668,2354709424,-122.6212692,-84.07582855,-84.8795166,0.42991266,-0.06965759,0.0626173
,,,,,,,,669,2354726091,-122.5401077,-84.0990448,-85.2886734,0.63108706,0.071331255,0.22714996
,,,,,,,,670,2354742758,-122.5996552,-84.10478973,-85.43608093,0.47101372,0.38725877,0.22050858
,,,,,,,,671,2354759425,-123.0084,-84.12664032,-85.09583282,0.56066316,0.48113802,0.11210346
,,,,,,,,672,2354776092,-123.553154,-84.15162659,-84.48097992,0.32710072,0.34195587,0.104273796
,,,,,,,,673,2354792759,-123.9405594,-84.16521454,-83.91413116,0.17158067,-0.01161893,0.09139633
,,,,,,,,674,2354809426,-124.2406082,-84.16454315,-83.37924957,-0.17892304,-0.09274256,0.13251495
,,,,,,,,675,2354826093,-124.4980545,-84.1579895,-82.89827728,-0.24162826,-0.16834526,0.3079319
,,,,,,,,676,2354842760,-124.5594406,-84.15293121,-82.66560364,-0.34207344,-0.077098444,0.37897873
,,,,,,,,677,2354859427,-124.4136887,-84.15420532,-82.66371918,-0.08859352,0.0133454,0.24860668
,,,,,,,,678,2354876094,-124.1224747,-84.16377258,-82.78665924,0.14367369,0.1734508,0.094638824
,,,,,,,,679,2354892761,-123.9409943,-84.17513275,-82.77490997,0.31201005,0.23418659,0.033133507
,,,,,,,,680,2354909428,-123.7632217,-84.18099213,-82.75203705,0.50192195,0.14762427,0.054668427
,,,,,,,,681,2354926095,-123.6722031,-84.17971039,-82.60852051,0.43822002,-0.104902565,0.13106441
,,,,,,,,682,2354942762,-123.7130432,-84.18372345,-82.35219574,0.090056695,-0.1330215,0.16754246
