PacketCounter_tibia,SampleTimeFine_tibia,Euler_X_tibia,Euler_Y_tibia,Euler_Z_tibia,FreeAcc_X_tibia,FreeAcc_Y_tibia,FreeAcc_Z_tibia
271,1212506896,-166.4405365,-79.71182251,1.470507741,-0.01336122,-0.017077954,0.002142906
272,1212523563,-166.4653168,-79.71385956,1.494939685,-0.025689747,-0.02102022,-7.81E-04
273,1212540230,-166.4900055,-79.71645355,1.515671253,-0.015378376,-0.02790604,-0.025709152
274,1212556897,-166.506073,-79.72000885,1.526622534,-0.033059627,-0.037356,-0.011611939
275,1212573564,-166.5034485,-79.72538757,1.521247506,-0.019198772,-0.021535026,-0.002655029
276,1212590231,-166.5097351,-79.73065186,1.525379181,-0.019842809,-0.009796405,-0.001243591
277,1212606898,-166.5140228,-79.73620605,1.528645635,-0.004949122,-0.0254997,-0.020853043
278,1212623565,-166.5109863,-79.74276733,1.522239089,-5.36E-04,-0.003082747,-0.003885269
279,1212640232,-166.5034485,-79.74868774,1.512903214,7.15E-04,0.002579451,-0.019205093
280,1212656899,-166.4975281,-79.75331879,1.508846283,0.011275963,-8.94E-05,-0.011004448
281,1212673566,-166.4938965,-79.75967407,1.508976221,0.028871777,-0.024681864,-0.017261505
282,1212690233,-166.4890289,-79.76417542,1.503782749,0.02844057,-0.036105894,-0.01569748
283,1212706900,-166.4790497,-79.76802826,1.484058857,-0.011932833,-0.023086151,-0.012371063
284,1212723567,-166.4674835,-79.77272034,1.460357785,-0.015792014,-0.024669908,-0.01731968
285,1212740234,-166.4545593,-79.77853394,1.441561699,-0.030461023,0.015430273,-0.018336296
286,1212756901,-166.4327087,-79.78483582,1.424545169,0.007655277,0.012812098,-0.001992226
287,1212773568,-166.4117889,-79.7897644,1.408512712,0.010982687,-0.016077567,-0.017256737
288,1212790235,-166.3940582,-79.79390717,1.390736938,0.064420275,-0.027630169,-0.014774323
289,1212806902,-166.3773651,-79.79658508,1.368447304,0.037528887,-0.007311891,-0.03330326
290,1212823569,-166.3744659,-79.79785919,1.359097123,0.010927213,0.015349976,-0.03631401
