PacketCounter_femur,SampleTimeFine_femur,Quat_W_femur,Quat_X_femur,Quat_Y_femur,Quat_Z_femur,FreeAcc_X_femur,FreeAcc_Y_femur,FreeAcc_Z_femur,PacketCounter_tibia,SampleTimeFine_tibia,Quat_W_tibia,Quat_X_tibia,Quat_Y_tibia,Quat_Z_tibia,FreeAcc_X_tibia,FreeAcc_Y_tibia,FreeAcc_Z_tibia
38,847208931,-0.23519364,-0.6985932,0.22271763,-0.6380037,-0.09920549999999999,-0.14380947,0.08973503,38,847208931,0.57920086,0.11613112,-0.79883504,-0.11359019,0.014232411,0.009434426,0.12655449
39,847225598,-0.23538937,-0.69862866,0.22296536,-0.63780606,-0.07437287,-0.13832915,0.089310646,39,847225598,0.57912576,0.116010986,-0.7989042,-0.11360936,-0.031549405,0.0068050919999999996,0.10929489
40,847242265,-0.23545316,-0.6986724,0.22308254,-0.6376936,-0.008565128,-0.09739677599999999,0.08361721,40,847242265,0.57903445,0.11591439,-0.79898775,-0.11358587,-0.049281478,0.010203422,0.10259342
41,847258932,-0.23545618,-0.69872767,0.22315022,-0.63760835,0.0031485710999999998,-0.068300866,0.11587715,41,847258932,0.57894903,0.11591069,-0.79906356,-0.11349100599999999,-0.039858617,-0.007671300000000001,0.12263775
42,847275599,-0.23548187,-0.6988209,0.2232654,-0.63745636,-0.07188216,-0.11336376,0.106422424,42,847275599,0.57885295,0.11586688,-0.7991531,-0.11339591,2.1010216999999997e-05,-0.013108531999999999,0.13507652
43,847292266,-0.2354366,-0.69896907,0.22338472,-0.6372688,-0.16950652,-0.07618193,0.07633495,43,847292266,0.5787613,0.11574156599999999,-0.79924184,-0.11336711,0.04101686,0.018375335,0.117432594
44,847308933,-0.23542455,-0.6990763000000001,0.22348952,-0.6371189,-0.16368932,-0.12287334,0.10684489999999998,44,847308933,0.5786707,0.11561011,-0.7993278,-0.113356456,0.07330555,0.0011760693,0.12740993
45,847325600,-0.23554626,-0.69913954,0.22373204,-0.63691926,-0.19420063,-0.11235952,0.11993789999999999,45,847325600,0.57858074,0.1154649,-0.7994109,-0.11337859,0.080080666,0.014616127,0.1284275
46,847342267,-0.23570964,-0.6991835999999999,0.22396131,-0.63672966,-0.22001794,-0.14405209,0.11059569999999999,46,847342267,0.5785007,0.11531165,-0.79948634,-0.11341004,0.037859965,0.027989912999999998,0.12154961
47,847358934,-0.23585437,-0.69919604,0.22415371,-0.6365949000000001,-0.14693016,-0.10761210000000002,0.09954071,47,847358934,0.57841265,0.11514021,-0.7995643,-0.11348439,0.024792057000000003,-0.024188852,0.12283325
48,847375601,-0.23603608,-0.69919366,0.22437143,-0.6364534000000001,-0.09261125,-0.028232591,0.10981274,48,847375601,0.57830256,0.11489452,-0.79966116,-0.11361191,-0.007830106,-0.012638372,0.07038784
49,847392268,-0.23607244,-0.69923186,0.22448519,-0.63635784,0.02638548,-0.11803619,0.052194595,49,847392268,0.57819104,0.11476038400000001,-0.799756,-0.11364774,-0.048420507,-0.05556616,0.09794712
50,847408935,-0.2361738,-0.69926435,0.2247143,-0.6362036999999999,-0.0840126,0.004616325,0.06921100599999999,50,847408935,0.57806796,0.11460133,-0.79986084,-0.11369608,-0.025930185,-0.022902423999999998,0.09269047
51,847425602,-0.23621910000000002,-0.6992816,0.22483514,-0.63612527,-0.08944167,-0.10105982,0.094610214,51,847425602,0.57795477,0.11450496,-0.7999573,-0.11369031,0.023252947000000003,-0.012920333999999999,0.13881588
52,847442269,-0.23633827,-0.6993401,0.2250387,-0.6359446,-0.14353722,-0.11013679,0.12064743,52,847442269,0.5778466,0.114385605,-0.80004877,-0.11371649,0.08160011,0.02714889,0.13122559
53,847458936,-0.23653094,-0.6993651999999999,0.22525814,-0.63576776,-0.20664522,-0.11442131,0.10457897,53,847458936,0.5777463,0.11428901,-0.8001311,-0.11374452,0.07591126,-0.005211652,0.14655018
54,847475603,-0.23669688,-0.699377,0.22539987,-0.6356426,-0.15001743,-0.07626765,0.09896088,54,847475603,0.57764673,0.11413208,-0.8002158,-0.1138116,0.045246176,-0.01464781,0.13262653
