PacketCounter_femur,SampleTimeFine_femur,Quat_W_femur,Quat_X_femur,Quat_Y_femur,Quat_Z_femur,FreeAcc_X_femur,FreeAcc_Y_femur,FreeAcc_Z_femur,PacketCounter_tibia,SampleTimeFine_tibia,Quat_W_tibia,Quat_X_tibia,Quat_Y_tibia,Quat_Z_tibia,FreeAcc_X_tibia,FreeAcc_Y_tibia,FreeAcc_Z_tibia
36,1045726437,0.39178154,-0.48133436,-0.54160035,-0.5670053,0.06316588,-0.050647702,0.15749739999999998,36,1045726437,-0.0926733,-0.68809843,0.08064778,-0.71514213,0.0006716844,-0.07190959,0.05849266
37,1045743104,0.3918952,-0.48119292,-0.54147327,-0.5671682,0.046959624000000005,-0.06971961,0.13636208,37,1045743104,-0.092338346,-0.6878781999999999,0.08075725,-0.7153851,0.043325137,0.015992017,-0.003750801
38,1045759771,0.39199359999999994,-0.48117334,-0.54129165,-0.5672901,-0.04530518,0.044643585,0.076519966,38,1045759771,-0.09208268,-0.6876171999999999,0.0808268,-0.71566087,0.062362343,0.049056287999999997,-0.07110596
39,1045776438,0.3920683,-0.4813037,-0.5409246,-0.5674779999999999,-0.047848985,-0.023958352999999998,0.15894985,39,1045776438,-0.091983706,-0.6873359,0.08095542,-0.7159291999999999,0.015743708000000002,-0.023610847,-0.0026521683
40,1045793105,0.3920916,-0.48149753,-0.5405033,-0.5676989,-0.0073218374,0.048411567,0.14174461,40,1045793105,-0.09200239999999998,-0.687051,0.081262074,-0.7161656,0.010807794499999999,-0.09502217,0.005215645
41,1045809772,0.39212800000000003,-0.48162478,-0.54015905,-0.5678933,-0.020996584,0.06259324,0.102962494,41,1045809772,-0.09212757,-0.6867765,0.081736654,-0.71635884,0.017468103999999998,-0.10032144,-0.07476807
42,1045826439,0.39226297,-0.48160186,-0.539974,-0.5679955,-0.020898685,0.06664184,0.08178806,42,1045826439,-0.09218003,-0.6865589,0.082223415,-0.71650493,0.03297141,-0.07570931,-0.076244354
43,1045843106,0.39249244,-0.4814764,-0.5398559,-0.56805587,-0.11480962,0.05958207,0.0879755,43,1045843106,-0.09207932,-0.68639034,0.0825003,-0.71664757,0.06495506,0.13159001,-0.07384968
44,1045859773,0.39265594,-0.48144560000000003,-0.53970635,-0.56811094,-0.19493973,0.03809063,0.06872368,44,1045859773,-0.09188657,-0.6862672,0.08241151,-0.7168004,0.035875693,0.19428886,-0.09116268
45,1045876440,0.39276883,-0.4815339,-0.53951424,-0.56814075,-0.20347568,-0.021594035,0.08383751,45,1045876440,-0.09192265,-0.68615,0.08227403,-0.7169236999999999,-0.043890122000000004,0.02471936,-0.043219565999999994
46,1045893107,0.39290756,-0.48160905,-0.5393511999999999,-0.5681358,-0.08347985,0.03228913,0.079815865,46,1045893107,-0.09205991,-0.6860242,0.08227441,-0.7170265,-0.05424296,-0.13018982,-0.022558212
47,1045909774,0.39304796,-0.48162887,-0.5392604999999999,-0.5681081,0.09859693,0.07443932,0.12062168,47,1045909774,-0.09226244,-0.68594784,0.08250138,-0.7170472,-0.010551712,-0.11544042,-0.07740307
48,1045926441,0.39312252,-0.481671,-0.53908455,-0.56818765,0.14761734,-0.009820488,0.18303394,48,1045926441,-0.09243058400000001,-0.6859095000000001,0.08280939999999999,-0.7170269,0.026546347999999997,-0.042113415999999994,-0.02513504
49,1045943108,0.39312220000000003,-0.48181838,-0.5388666,-0.5682696999999999,0.043839607,0.07210193,0.12914944,49,1045943108,-0.09248258,-0.685882,0.08301442,-0.7170228,0.021391,0.08795654,-0.028197289
50,1045959775,0.39309683,-0.48200023,-0.53873587,-0.56825686,-0.15129636,0.015727041,0.14745045,50,1045959775,-0.09240713,-0.6858799,0.08303619,-0.71703196,-0.010041046999999999,0.0643125,-0.001004219
51,1045976442,0.39317888,-0.48207799999999995,-0.5386888000000001,-0.5681788000000001,-0.13355793,0.009630056,0.10300636,51,1045976442,-0.09233007,-0.68589306,0.08303205,-0.71702975,-0.026253335,-0.03661377,-0.01788807
52,1045993109,0.39331007,-0.48208329999999994,-0.5387428000000001,-0.56803226,-0.033462572999999995,0.02470388,0.090138435,52,1045993109,-0.092300594,-0.68591493,0.08315726,-0.7169981,0.015062188999999998,-0.06602724,-0.08768463
53,1046009776,0.39339468,-0.48210946,-0.53870887,-0.5679835,0.061333295,0.025965053999999998,0.063741684,53,1046009776,-0.09233781,-0.6859615,0.08332826,-0.7169291,0.046418652000000005,-0.024828937000000002,-0.10818958
54,1046026443,0.39330372,-0.48234573,-0.53850365,-0.5680406,0.12845312,0.025830386,0.06761551,54,1046026443,-0.09230776,-0.68599975,0.08342784,-0.7168846,0.053108193,-0.024687117,-0.12576199
55,1046043110,0.39320424,-0.48257047,-0.53837913,-0.5680368,0.029397318,0.06352775,0.079081535,55,1046043110,-0.09226007,-0.68601865,0.08352867,-0.71686095,0.0005706983999999999,-0.078476295,-0.03862095
56,1046059777,0.39320484,-0.48268574,-0.53830737,-0.5680063,-0.076903656,0.017261459,0.13263607,56,1046059777,-0.09213853,-0.68603957,0.083667554,-0.7168404,0.017792938,-0.047032042999999996,0.009571075
57,1046076444,0.39319867,-0.48277079999999994,-0.5382703000000001,-0.56797343,-0.12366458,0.05006802,0.16530132,57,1046076444,-0.091981545,-0.6860963000000001,0.08376569,-0.7167946999999999,0.06672771,0.055518717,-0.010440826
58,1046093111,0.39314258,-0.4828857,-0.53826386,-0.5679208,-0.08365196,0.10716016,0.14980221,58,1046093111,-0.09179434,-0.68615514,0.08374305,-0.71676505,0.10814309,0.06953806400000001,-0.032048225
59,1046109778,0.39314818,-0.48297805,-0.5383296,-0.5677760000000001,-0.037642932999999996,0.11545696,0.20250702,59,1046109778,-0.09155081,-0.68626416,0.08361426,-0.71670705,0.094330065,0.04262733,0.03712368
60,1046126445,0.39334643,-0.48281908,-0.5385687,-0.5675472,-0.064287245,0.10658662,0.21482658,60,1046126445,-0.091069765,-0.6864163000000001,0.08335492,-0.7166526999999999,0.061925485999999995,0.0032522252,0.10557269999999999
61,1046143112,0.39360934,-0.48250604,-0.5389176,-0.56729966,-0.056434788,0.05888001599999999,0.14697266,61,1046143112,-0.09034182,-0.6865690999999999,0.08300401,-0.7166392,0.09816784,-0.016414343999999997,0.02487564
62,1046159779,0.39376205,-0.48226845,-0.53929186,-0.5670400999999999,-0.09216914,0.12338351,0.06765938,62,1046159779,-0.08958973,-0.686764,0.08255954,-0.7165982,0.119010255,0.12656248,-0.090662
63,1046176446,0.39393854,-0.48218370000000005,-0.5394576999999999,-0.5668316999999999,-0.1407575,-0.0067883119999999995,0.12308788,63,1046176446,-0.088887036,-0.6869940999999999,0.08193218,-0.71653724,0.08827344,0.16419679999999998,-0.078398705
64,1046193113,0.39413533,-0.482202,-0.5395452,-0.56659627,-0.105736606,-0.03028511,0.08766556,64,1046193113,-0.08838379,-0.6871355,0.08131217,-0.7165345000000001,-0.08820521,-0.032392725,0.03088665
65,1046209780,0.39429817,-0.48227283,-0.53959095,-0.5663788000000001,-0.069494426,-0.06344348,0.14796448,65,1046209780,-0.08816437,-0.68717337,0.08107450599999999,-0.71655214,-0.073419645,-0.24498601,0.04698658
66,1046226447,0.3945033,-0.4822259,-0.5396426,-0.5662269,-0.00852009,-0.00912134,0.1537695,66,1046226447,-0.0881668,-0.6871925999999999,0.08125999,-0.71651226,0.035078347,-0.18823284,-0.02133274
67,1046243114,0.39464757,-0.48222136,-0.5396263000000001,-0.56614566,0.112839624,0.096596375,0.1304121,67,1046243114,-0.08827861,-0.68719745,0.08163089,-0.7164518,0.10301349,-0.043244727000000004,-0.03291607
68,1046259781,0.39466676,-0.48240438,-0.539488,-0.5661082,0.05737153,0.09419909,0.17272568,68,1046259781,-0.08827712,-0.68721396,0.081835605,-0.7164128000000001,0.1427096,0.08118091,0.006415367
69,1046276448,0.39466912,-0.48263234,-0.5392744,-0.5661158000000001,-0.09904083,0.033273928,0.22248649999999998,69,1046276448,-0.088154,-0.68722904,0.08179927,-0.71641755,0.081243075,0.09191987,0.073431015
70,1046293115,0.39477992,-0.48271585,-0.53912336,-0.5661111999999999,-0.17806382,0.033904903,0.19346237,70,1046293115,-0.08802176,-0.6872579000000001,0.08171462,-0.7164156999999999,0.032776766,-0.037323423,0.0932951
71,1046309782,0.39499858,-0.48256457,-0.5391836999999999,-0.5660301999999999,-0.16080417,0.03343307,0.15142060000000002,71,1046309782,-0.087834954,-0.6872694,0.081653066,-0.71643484,0.029573306,-0.076000944,0.036151886
72,1046326449,0.39514863,-0.48230657,-0.5393711999999999,-0.56596655,-0.21936455,0.062103967999999996,0.11971855,72,1046326449,-0.08764252,-0.68727344,0.08151986,-0.7164695,0.08186734,0.064243436,-0.028090477000000003
73,1046343116,0.39523414,-0.4821328,-0.5394038000000001,-0.5660239,-0.13397703,-0.012207383,0.1640606,73,1046343116,-0.08745481,-0.68727595,0.08111464,-0.7165362,0.095688045,0.192341,-0.022925377
74,1046359783,0.39535484,-0.48203805,-0.53937715,-0.56604576,-0.023362692,0.04720057,0.18574238,74,1046359783,-0.08724936,-0.6872501,0.08047572,-0.7166581,0.033532728,0.058292124,0.08583069
75,1046376450,0.39548540000000004,-0.48192313,-0.53933936,-0.5660885,0.07933011,0.029507175,0.14979649,75,1046376450,-0.08696012,-0.6872149999999999,0.07981057,-0.71680117,0.0062698177,-0.10769692,-0.0017280579000000002
76,1046393117,0.39556518,-0.48180935,-0.5393127,-0.56615496,0.15028855,0.07985548,0.116950035,76,1046393117,-0.086759426,-0.6872050000000001,0.079427175,-0.7168776,0.021192221,-0.24045847,-0.055016518
77,1046409784,0.3957425,-0.48164540000000006,-0.5393616,-0.56612384,0.12548465,0.043998413,0.118247986,77,1046409784,-0.08671377,-0.6871633,0.07943896,-0.71692187,0.014412883999999999,-0.22073600000000002,-0.037765503
78,1046426451,0.39599696,-0.48147109999999993,-0.5394015999999999,-0.5660561,0.14071682,-0.00586498,0.14246845,78,1046426451,-0.08667765599999999,-0.68710256,0.07963253,-0.7169629,-0.006601685699999999,-0.046604852999999995,0.029920578
79,1046443118,0.39610162,-0.48135853,-0.5394813,-0.5660025,-0.021678256,-0.0071617845,0.14358425,79,1046443118,-0.08649585,-0.6869773,0.079776995,-0.71708876,-0.021659117000000002,-7.387103e-05,0.04690075
80,1046459785,0.39617127,-0.48122504,-0.5394236,-0.56612235,-0.08278361,-0.11460046,0.11718655,80,1046459785,-0.08606444,-0.6868524,0.07969431,-0.71726966,0.010097442,0.108709104,-0.013656616000000002
81,1046476452,0.39636266,-0.48111883,-0.53936416,-0.56613535,0.017579518,-0.018391651999999998,0.09115219,81,1046476452,-0.08562569,-0.68672264,0.07944884,-0.7174738,-0.016115654,0.08222611,-0.02858162
82,1046493119,0.3965369,-0.48104626,-0.53943133,-0.5660111,-0.021775527000000003,0.018157074,0.16553116,82,1046493119,-0.08522492,-0.6865434,0.07919858,-0.7177205,-0.06453629,-0.059072014000000006,0.00026035310000000004
83,1046509786,0.39676392,-0.4810004,-0.5394138,-0.56590754,0.00097183435,-0.024001045,0.17447948,83,1046509786,-0.08494149,-0.6863906,0.079115756,-0.71790934,-0.033209577000000004,-0.08689597,0.008572578
84,1046526453,0.39689472,-0.4810397,-0.5392991,-0.56589186,-0.037963677,0.012442295,0.093896866,84,1046526453,-0.08484228,-0.68628055,0.079281434,-0.7180079,-0.009805415999999999,-0.10687697,-0.07387352
